# filename mars.txt
####################################
# days between two positions: 27 
# first line date: 17/ 5/2021
####################################
X (au)              Y (au)              Z (au)              
-1.0929             1.2356              0.0528              
-1.3337             0.9899              0.0535              
-1.5119             0.6977              0.0518              
-1.6199             0.3731              0.0477              
-1.652              0.0311              0.0413              
-1.6054             -0.3124             0.033               
-1.48               -0.6404             0.023               
-1.2787             -0.9354             0.0119              
-1.0085             -1.1798             0.0002              
-0.6805             -1.3562             -0.0116             
-0.311              -1.4491             -0.0227             
0.0788              -1.4466             -0.0322             
0.4627              -1.3422             -0.0395             
0.8118              -1.1375             -0.0438             
1.0971              -0.8438             -0.0447             
1.294               -0.4823             -0.0419             
1.386               -0.0816             -0.0358             
1.3673              0.3257              -0.0269             
1.2433              0.7081              -0.0158             
1.0282              1.039               -0.0036             
0.7422              1.2989              0.0089              
0.4085              1.4755              0.0208              
0.0501              1.564               0.0315              
-0.3114             1.5649              0.0404              
-0.6565             1.483               0.0472              
-0.9687             1.3264              0.0516              
