# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
0.3525              -1.3911             -0.1712             
0.3651              -1.3783             -0.1701             
0.3778              -1.3653             -0.1689             
0.3903              -1.3522             -0.1678             
0.4029              -1.339              -0.1666             
0.4154              -1.3256             -0.1654             
0.4278              -1.312              -0.1642             
0.4402              -1.2984             -0.163              
0.4525              -1.2845             -0.1617             
0.4648              -1.2706             -0.1604             
0.4771              -1.2564             -0.1592             
0.4893              -1.2422             -0.1578             
0.5014              -1.2277             -0.1565             
0.5134              -1.2132             -0.1552             
0.5254              -1.1984             -0.1538             
0.5374              -1.1835             -0.1524             
0.5492              -1.1685             -0.151              
0.561               -1.1533             -0.1496             
0.5727              -1.1379             -0.1481             
0.5844              -1.1224             -0.1467             
0.5959              -1.1067             -0.1452             
0.6074              -1.0909             -0.1437             
0.6187              -1.0749             -0.1422             
0.63                -1.0587             -0.1406             
0.6412              -1.0424             -0.139              
0.6522              -1.0259             -0.1374             
0.6632              -1.0092             -0.1358             
0.6741              -0.9924             -0.1342             
0.6848              -0.9754             -0.1325             
0.6954              -0.9583             -0.1308             
0.7059              -0.9409             -0.1291             
0.7163              -0.9234             -0.1274             
0.7266              -0.9058             -0.1256             
0.7367              -0.8879             -0.1238             
0.7466              -0.8699             -0.122              
0.7565              -0.8518             -0.1202             
0.7662              -0.8334             -0.1184             
0.7757              -0.8149             -0.1165             
0.7851              -0.7962             -0.1146             
0.7943              -0.7774             -0.1127             
0.8033              -0.7584             -0.1107             
0.8122              -0.7392             -0.1088             
0.8208              -0.7199             -0.1068             
0.8293              -0.7004             -0.1048             
0.8377              -0.6808             -0.1027             
0.8458              -0.661              -0.1007             
0.8537              -0.641              -0.0986             
0.8614              -0.6209             -0.0965             
0.8689              -0.6006             -0.0943             
0.8762              -0.5802             -0.0922             
0.8832              -0.5596             -0.09               
0.8901              -0.5389             -0.0878             
0.8967              -0.5181             -0.0855             
0.9031              -0.4971             -0.0833             
0.9092              -0.476              -0.081              
0.9151              -0.4547             -0.0787             
0.9207              -0.4333             -0.0764             
0.9261              -0.4118             -0.0741             
0.9312              -0.3902             -0.0717             
0.936               -0.3685             -0.0693             
0.9406              -0.3467             -0.0669             
0.9449              -0.3248             -0.0645             
0.9489              -0.3027             -0.0621             
0.9527              -0.2806             -0.0596             
0.9561              -0.2584             -0.0572             
0.9593              -0.2361             -0.0547             
0.9622              -0.2138             -0.0522             
0.9648              -0.1914             -0.0496             
0.967               -0.1689             -0.0471             
0.969               -0.1464             -0.0445             
0.9707              -0.1238             -0.042              
0.9721              -0.1012             -0.0394             
0.9731              -0.0786             -0.0368             
0.9739              -0.0559             -0.0342             
0.9743              -0.0332             -0.0316             
0.9744              -0.0105             -0.0289             
0.9743              0.0122              -0.0263             
0.9738              0.0349              -0.0237             
0.973               0.0576              -0.021              
0.9718              0.0802              -0.0184             
0.9704              0.1029              -0.0157             
0.9687              0.1255              -0.013              
0.9666              0.1481              -0.0104             
0.9643              0.1706              -0.0077             
0.9617              0.193               -0.005              
0.9587              0.2155              -0.0023             
0.9555              0.2378              0.0004              
0.9519              0.2601              0.003               
0.9481              0.2822              0.0057              
0.9439              0.3043              0.0084              
0.9395              0.3264              0.0111              
0.9348              0.3483              0.0137              
0.9298              0.3701              0.0164              
0.9246              0.3918              0.0191              
0.9191              0.4133              0.0217              
0.9133              0.4348              0.0244              
0.9072              0.4561              0.027               
0.9009              0.4774              0.0297              
0.8944              0.4984              0.0323              
0.8876              0.5194              0.0349              
0.8805              0.5402              0.0375              
0.8733              0.5608              0.0401              
0.8658              0.5813              0.0427              
0.858               0.6017              0.0453              
0.8501              0.6219              0.0479              
0.8419              0.6419              0.0504              
0.8335              0.6618              0.053               
0.8249              0.6815              0.0555              
0.8162              0.7011              0.058               
0.8072              0.7205              0.0605              
0.798               0.7397              0.063               
0.7887              0.7588              0.0655              
0.7792              0.7777              0.0679              
0.7695              0.7964              0.0704              
0.7596              0.8149              0.0728              
0.7496              0.8333              0.0752              
0.7394              0.8515              0.0776              
0.7291              0.8695              0.08                
0.7186              0.8873              0.0824              
0.708               0.905               0.0847              
0.6972              0.9225              0.087               
0.6864              0.9398              0.0894              
0.6753              0.957               0.0917              
0.6642              0.9739              0.0939              
0.6529              0.9907              0.0962              
0.6416              1.0073              0.0985              
0.6301              1.0238              0.1007              
0.6185              1.0401              0.1029              
0.6068              1.0562              0.1051              
0.595               1.0721              0.1073              
