# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-0.0052             -1.6966             
0.0078              -1.6871             
0.0209              -1.6774             
0.034               -1.6676             
0.047               -1.6578             
0.0601              -1.6478             
0.0731              -1.6377             
0.0862              -1.6275             
0.0992              -1.6172             
0.1123              -1.6068             
0.1253              -1.5963             
0.1383              -1.5857             
0.1513              -1.5749             
0.1643              -1.5641             
0.1773              -1.5531             
0.1903              -1.542              
0.2033              -1.5308             
0.2162              -1.5195             
0.2291              -1.508              
0.242               -1.4964             
0.2549              -1.4847             
0.2678              -1.4729             
0.2806              -1.4609             
0.2935              -1.4489             
0.3063              -1.4366             
0.319               -1.4243             
0.3318              -1.4118             
0.3445              -1.3992             
0.3571              -1.3865             
0.3698              -1.3736             
0.3824              -1.3606             
0.3949              -1.3474             
0.4074              -1.3341             
0.4199              -1.3206             
0.4323              -1.3071             
0.4447              -1.2933             
0.457               -1.2794             
0.4693              -1.2654             
0.4815              -1.2512             
0.4937              -1.2369             
0.5058              -1.2224             
0.5178              -1.2078             
0.5298              -1.193              
0.5417              -1.1781             
0.5536              -1.163              
0.5653              -1.1477             
0.577               -1.1323             
0.5886              -1.1167             
0.6001              -1.101              
0.6115              -1.0851             
0.6228              -1.069              
0.6341              -1.0528             
0.6452              -1.0364             
0.6563              -1.0198             
0.6672              -1.0031             
0.678               -0.9862             
0.6887              -0.9692             
0.6993              -0.9519             
0.7097              -0.9346             
0.7201              -0.917              
0.7303              -0.8993             
0.7403              -0.8814             
0.7503              -0.8633             
0.76                -0.8451             
0.7697              -0.8267             
0.7791              -0.8081             
0.7884              -0.7894             
0.7976              -0.7705             
0.8066              -0.7514             
0.8154              -0.7322             
0.824               -0.7128             
0.8324              -0.6932             
0.8406              -0.6735             
0.8487              -0.6537             
0.8565              -0.6337             
0.8642              -0.6135             
0.8716              -0.5932             
0.8788              -0.5727             
0.8858              -0.5521             
0.8925              -0.5313             
0.899               -0.5104             
0.9053              -0.4894             
0.9114              -0.4682             
0.9172              -0.4469             
0.9227              -0.4255             
0.928               -0.404              
0.933               -0.3823             
0.9377              -0.3605             
0.9422              -0.3387             
0.9464              -0.3167             
0.9503              -0.2947             
0.954               -0.2725             
0.9573              -0.2503             
0.9604              -0.228              
0.9632              -0.2056             
0.9656              -0.1832             
0.9678              -0.1607             
0.9697              -0.1381             
0.9712              -0.1155             
0.9725              -0.0929             
0.9734              -0.0703             
0.9741              -0.0476             
0.9744              -0.0249             
0.9744              -0.0022             
0.9741              0.0205              
0.9735              0.0432              
0.9726              0.0659              
0.9714              0.0885              
0.9698              0.1112              
0.968               0.1337              
0.9658              0.1563              
0.9634              0.1788              
0.9606              0.2012              
0.9575              0.2236              
0.9542              0.2459              
0.9505              0.2682              
0.9466              0.2903              
0.9424              0.3124              
0.9378              0.3344              
0.933               0.3562              
0.928               0.378               
0.9226              0.3997              
0.917               0.4212              
0.9111              0.4426              
0.905               0.4639              
0.8986              0.4851              
0.8919              0.5061              
0.885               0.527               
0.8779              0.5477              
0.8705              0.5683              
0.8629              0.5888              
0.8551              0.6091              
0.8471              0.6292              
0.8389              0.6492              
0.8304              0.669               
0.8217              0.6887              
0.8129              0.7082              
0.8039              0.7275              
0.7946              0.7467              
0.7852              0.7657              
0.7756              0.7845              
0.7659              0.8032              
0.756               0.8216              
0.7459              0.8399              
0.7357              0.8581              
0.7253              0.876               
0.7147              0.8938              
0.7041              0.9114              
0.6933              0.9288              
0.6823              0.9461              
0.6713              0.9632              
0.6601              0.9801              
0.6488              0.9968              
0.6374              1.0134              
0.6259              1.0298              
0.6142              1.046               
0.6025              1.062               
0.5907              1.0779              
0.5788              1.0936              
0.5668              1.1091              
0.5547              1.1245              
0.5425              1.1397              
0.5303              1.1547              
0.5179              1.1696              
0.5055              1.1843              
0.4931              1.1988              
0.4805              1.2132              
0.4679              1.2274              
0.4553              1.2415              
0.4426              1.2554              
0.4298              1.2692              
0.417               1.2828              
0.4041              1.2962              
0.3912              1.3095              
0.3782              1.3227              
0.3652              1.3357              
0.3522              1.3485              
0.3391              1.3612              
0.326               1.3738              
0.3128              1.3862              
0.2996              1.3985              
0.2864              1.4106              
0.2732              1.4226              
0.2599              1.4345              
0.2466              1.4462              
0.2333              1.4578              
0.22                1.4693              
0.2066              1.4806              
0.1932              1.4919              
0.1798              1.5029              
0.1664              1.5139              
0.153               1.5247              
0.1396              1.5354              
0.1261              1.546               
0.1127              1.5565              
0.0992              1.5668              
0.0858              1.5771              
0.0723              1.5872              
0.0588              1.5972              
0.0453              1.6071              
0.0318              1.6169              
0.0183              1.6265              
0.0048              1.6361              
-0.0086             1.6455              
-0.0221             1.6549              
-0.0356             1.6641              
-0.0491             1.6732              
-0.0626             1.6822              
-0.0761             1.6912              
-0.0896             1.7                 
-0.103              1.7087              
-0.1165             1.7173              
-0.1299             1.7259              
-0.1434             1.7343              
-0.1568             1.7426              
-0.1703             1.7509              
-0.1837             1.759               
-0.1971             1.7671              
-0.2105             1.775               
-0.2239             1.7829              
-0.2373             1.7907              
-0.2507             1.7984              
-0.264              1.806               
-0.2774             1.8135              
-0.2907             1.8209              
-0.304              1.8283              
-0.3173             1.8356              
-0.3306             1.8427              
-0.3439             1.8499              
-0.3572             1.8569              
-0.3704             1.8638              
-0.3837             1.8707              
-0.3969             1.8775              
-0.4101             1.8842              
-0.4233             1.8908              
-0.4364             1.8974              
-0.4496             1.9039              
-0.4627             1.9103              
-0.4758             1.9166              
-0.4889             1.9229              
-0.502              1.9291              
-0.515              1.9352              
-0.5281             1.9413              
-0.5411             1.9473              
-0.5541             1.9532              
-0.5671             1.959               
-0.5801             1.9648              
-0.593              1.9705              
-0.6059             1.9762              
-0.6188             1.9818              
-0.6317             1.9873              
-0.6446             1.9928              
-0.6574             1.9982              
-0.6703             2.0035              
-0.6831             2.0088              
-0.6959             2.014               
-0.7086             2.0191              
-0.7214             2.0242              
-0.7341             2.0293              
-0.7468             2.0342              
-0.7595             2.0391              
-0.7721             2.044               
-0.7847             2.0488              
-0.7974             2.0536              
-0.81               2.0582              
-0.8225             2.0629              
-0.8351             2.0675              
-0.8476             2.072               
-0.8601             2.0765              
-0.8726             2.0809              
-0.8851             2.0853              
-0.8975             2.0896              
-0.9099             2.0938              
-0.9223             2.0981              
-0.9347             2.1022              
-0.947              2.1063              
-0.9594             2.1104              
-0.9717             2.1144              
-0.9839             2.1184              
-0.9962             2.1223              
-1.0084             2.1262              
-1.0207             2.13                
-1.0329             2.1338              
-1.045              2.1375              
-1.0572             2.1412              
-1.0693             2.1448              
-1.0814             2.1484              
-1.0935             2.1519              
-1.1055             2.1554              
-1.1176             2.1589              
-1.1296             2.1623              
-1.1416             2.1657              
-1.1535             2.169               
-1.1655             2.1723              
-1.1774             2.1756              
-1.1893             2.1788              
-1.2012             2.1819              
-1.2131             2.185               
-1.2249             2.1881              
-1.2367             2.1912              
-1.2485             2.1942              
-1.2602             2.1971              
-1.272              2.2                 
-1.2837             2.2029              
-1.2954             2.2058              
-1.3071             2.2086              
-1.3187             2.2113              
-1.3304             2.2141              
-1.342              2.2168              
-1.3536             2.2194              
-1.3651             2.222               
-1.3767             2.2246              
-1.3882             2.2272              
-1.3997             2.2297              
-1.4112             2.2322              
-1.4226             2.2346              
