# fichier halley.txt
############################################################################################
# Positions prévues de la comète Halley par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-20.1565            26.7923             
-20.1562            26.7928             
-20.1559            26.7933             
-20.1557            26.7938             
-20.1554            26.7943             
-20.1551            26.7948             
-20.1548            26.7953             
-20.1545            26.7958             
-20.1542            26.7963             
-20.1539            26.7968             
-20.1537            26.7973             
-20.1534            26.7978             
-20.1531            26.7983             
-20.1528            26.7988             
-20.1525            26.7993             
-20.1522            26.7997             
-20.1519            26.8002             
-20.1517            26.8007             
-20.1514            26.8012             
-20.1511            26.8017             
-20.1508            26.8022             
-20.1505            26.8027             
-20.1502            26.8032             
-20.1499            26.8037             
-20.1496            26.8042             
-20.1494            26.8047             
-20.1491            26.8051             
-20.1488            26.8056             
-20.1485            26.8061             
-20.1482            26.8066             
-20.1479            26.8071             
-20.1476            26.8076             
-20.1473            26.8081             
-20.1471            26.8086             
-20.1468            26.8091             
-20.1465            26.8096             
-20.1462            26.81               
-20.1459            26.8105             
-20.1456            26.811              
-20.1453            26.8115             
-20.145             26.812              
-20.1447            26.8125             
-20.1444            26.813              
-20.1442            26.8135             
-20.1439            26.8139             
-20.1436            26.8144             
-20.1433            26.8149             
-20.143             26.8154             
-20.1427            26.8159             
-20.1424            26.8164             
-20.1421            26.8169             
-20.1418            26.8173             
-20.1415            26.8178             
-20.1412            26.8183             
-20.141             26.8188             
-20.1407            26.8193             
-20.1404            26.8198             
-20.1401            26.8202             
-20.1398            26.8207             
-20.1395            26.8212             
-20.1392            26.8217             
-20.1389            26.8222             
-20.1386            26.8227             
-20.1383            26.8231             
-20.138             26.8236             
-20.1377            26.8241             
-20.1374            26.8246             
-20.1371            26.8251             
-20.1369            26.8256             
-20.1366            26.826              
-20.1363            26.8265             
-20.136             26.827              
-20.1357            26.8275             
-20.1354            26.828              
-20.1351            26.8285             
-20.1348            26.8289             
-20.1345            26.8294             
-20.1342            26.8299             
-20.1339            26.8304             
-20.1336            26.8309             
-20.1333            26.8313             
-20.133             26.8318             
-20.1327            26.8323             
-20.1324            26.8328             
-20.1321            26.8333             
-20.1318            26.8337             
-20.1315            26.8342             
-20.1312            26.8347             
-20.1309            26.8352             
-20.1306            26.8356             
-20.1304            26.8361             
-20.1301            26.8366             
-20.1298            26.8371             
-20.1295            26.8376             
-20.1292            26.838              
-20.1289            26.8385             
-20.1286            26.839              
-20.1283            26.8395             
-20.128             26.8399             
-20.1277            26.8404             
-20.1274            26.8409             
-20.1271            26.8414             
-20.1268            26.8418             
-20.1265            26.8423             
-20.1262            26.8428             
-20.1259            26.8433             
-20.1256            26.8437             
-20.1253            26.8442             
-20.125             26.8447             
-20.1247            26.8452             
-20.1244            26.8456             
-20.1241            26.8461             
-20.1238            26.8466             
-20.1235            26.8471             
-20.1232            26.8475             
-20.1229            26.848              
-20.1226            26.8485             
-20.1223            26.849              
-20.122             26.8494             
-20.1217            26.8499             
-20.1214            26.8504             
-20.1211            26.8509             
-20.1208            26.8513             
-20.1205            26.8518             
-20.1202            26.8523             
-20.1199            26.8527             
-20.1196            26.8532             
-20.1193            26.8537             
-20.119             26.8542             
-20.1187            26.8546             
-20.1184            26.8551             
-20.1181            26.8556             
-20.1178            26.856              
-20.1175            26.8565             
-20.1172            26.857              
-20.1169            26.8574             
-20.1165            26.8579             
-20.1162            26.8584             
-20.1159            26.8589             
-20.1156            26.8593             
-20.1153            26.8598             
-20.115             26.8603             
-20.1147            26.8607             
-20.1144            26.8612             
-20.1141            26.8617             
-20.1138            26.8621             
-20.1135            26.8626             
-20.1132            26.8631             
-20.1129            26.8635             
-20.1126            26.864              
-20.1123            26.8645             
-20.112             26.8649             
-20.1117            26.8654             
-20.1114            26.8659             
-20.1111            26.8663             
-20.1108            26.8668             
-20.1105            26.8673             
-20.1101            26.8677             
-20.1098            26.8682             
-20.1095            26.8687             
-20.1092            26.8691             
-20.1089            26.8696             
-20.1086            26.8701             
-20.1083            26.8705             
-20.108             26.871              
-20.1077            26.8715             
-20.1074            26.8719             
-20.1071            26.8724             
-20.1068            26.8728             
-20.1065            26.8733             
-20.1062            26.8738             
-20.1058            26.8742             
-20.1055            26.8747             
-20.1052            26.8752             
-20.1049            26.8756             
-20.1046            26.8761             
-20.1043            26.8766             
-20.104             26.877              
-20.1037            26.8775             
-20.1034            26.8779             
-20.1031            26.8784             
-20.1028            26.8789             
-20.1025            26.8793             
-20.1021            26.8798             
-20.1018            26.8802             
-20.1015            26.8807             
-20.1012            26.8812             
-20.1009            26.8816             
-20.1006            26.8821             
-20.1003            26.8825             
-20.1               26.883              
-20.0997            26.8835             
-20.0993            26.8839             
-20.099             26.8844             
-20.0987            26.8848             
-20.0984            26.8853             
-20.0981            26.8858             
-20.0978            26.8862             
-20.0975            26.8867             
